id;name;text;time;likes;reply;CleanedText
UCyfHMJpCBZL4tnqOJJEcOEw;@swerve361;"It&#39;s impossible for AI to replace writers and artists. Nowadays, most people are nothing but soulless automatons who are slowly replacing their dependency on religion for capitalist pursuits... which is a pursuit only possible by an increase in prescription drugs, caffeine and other dangerous methods on the population. <br>The value of a creative perspective is extremely on high demand especially because most artists, writers and directors are garbage trapped in fulfilling the needs of investors who hate anything new and will censor anything that challenges the status quo. <br><br>Most individuals are desperate for a fresh pov from an actual human who took decades to master an actual freaking talent. Saying that AI can replace the main creative jobs is like sitting around a campfire and listening to a story by a robot instead of the experiences of your father, the limitations of your mentors etcc";2024-04-12T18:31:41Z;15;;It.impossible for AI to replace writers and artists. Nowadays, most people are nothing but soulless automatons who are slowly replacing their dependency on religion for capitalist pursuit is... which is a pursuit only possible by an increase in prescription drugs, caffeine and other dangerous methods on the population. The value of a creative perspective is extremely on high demand especially because most artists, writers and directors are garbage trapped in fulfilling the needs of investors who hate anything new and will censor anything that challenges the status quo. Most individuals are desperate for a fresh point of view from an actual human who took decades to master an actual freaking talent. Saying that AI can replace the main creative jobs is like sitting around a campfire and listening to a story by a robot instead of the experiences of your father, the limitations of your mentors etc
UCfOdObLyKXNaMWH5AcXDPAw;@math97003;what about farmers?;2024-04-13T11:42:28Z;11;;What about farmers?
UC7s34x_4oHKMNkKG349AUEA;@taniyadutta8;Become a construction labour, house painter, cook, plumber etc etc... never getting replaced;2024-04-13T06:39:50Z;11;;Become a construction labor, house painter, cook, plumber etc... never getting replaced
UCbk5J3dFU8H_DnwO0Q6kocg;@hcm9999;"Three Jobs That Will Survive AI:<br>1. Multinational company CEO<br>2. Billionaire<br>3. Trillionaire";2024-04-23T12:56:36Z;10;;Three Jobs That Will Survive AI 1. Multinational company CEO 2. Billionaire 3. Trillionaire
UCBcBADUYWBZlx5hUn2ItbgQ;@lakshmitejas1685;Who tests AI?;2024-04-13T01:44:50Z;10;UCds1d9ZDLejQwDf9nM6UBzw;Who tests AI?
UCsTzJ1tDA88xdDIfRdjDbvA;@Dr.freedom;"AI can&#39;t replace Bureaucrats, Movie Artists, Politicians , Doctors, Nurses, Dentists, Pathologists ,Civil and Engineers on the field, Labour intensive jobs, the list can go on. But a lot will be highly influenced by AI and some will be removed by AI as well.";2024-04-15T11:04:41Z;8;;AI can't replace Bureaucrats, Movie Artists, Politicians, Doctors, Nurses, Dentists, Pathologists, Civil and Engineers on the field, Labor intensive jobs, the list can go on. But a lot will be highly influenced by AI and some will be removed by AI as well.
UCNmX2yg6nQbLGBvWYRGzn4w;@adwaitvedant3297;Next year you will see its impact !! An avalanche is coming;2024-04-12T18:08:29Z;8;UCs8-YzMwmeRJjzJB9tAdlkg;Next year you will see it is impact !! An avalanche is coming
UCtDeol_6qFq8KtxwklxmTsg;@s.a.muhammed6355;I have observed that AI designers being human have resulted in flaws in design that require correction. Technicians of various kinds will be required to fix these errors.;2024-04-13T23:33:36Z;7;;I have observed that AI designers being human have resulted in flaws in design that require correction. Technicians of various kinds will be required to fix these errors.
UCK_0ZwYQYmiKG45OC05lDpg;@Krishna-uu6gf;IT manager jobs are safe, else who would approve AI projects;2024-04-13T05:58:41Z;7;;IT manager jobs are safe, else who would approve AI projects
UCjXaCGEaVkaiMr5BZ90APmw;@ansumanansuman1010;What about job as a teacher;2024-04-13T03:57:19Z;7;;What about job as a teacher
UC2OiG6nq9mveW0yZZHfV27Q;@amirhirani4636;Palki proud of you bravo keep it up.;2024-04-12T20:14:30Z;7;;Park proud of you bravo keep it up.
UCNLsDS66jLmtNx1O4zSk5GA;@bharath2508;"Because robots are already naked and people are used to it.<br><br>Robot don&#39;t show their body to earn money.";2024-04-12T20:21:59Z;7;UCNH_csyh2ZEZqQ_Wv3bK6KQ;Because robots are already naked and people are used to it. Robot don't show their body to earn money.
UCs8-YzMwmeRJjzJB9tAdlkg;@ramanjeet1111;INDIA  HAS NOT SEEN ANY IMPACT OF AI SO FAR;2024-04-12T17:55:26Z;7;;INDIA HAS NOT SEEN ANY IMPACT OF AI SO FAR
UCH4evZnZrRz6dbjF9shWC3g;@Gauravkumar-jm4ve;Mostly all field jobs are AI proof;2024-04-13T07:19:01Z;6;;Mostly all field jobs are AI proof
UCNqKPu2U5gQou6vAuddcjzw;@cheesengyeap524;Get a sugar daddy to pay for it;2024-04-13T01:03:19Z;6;UC5vXMZJl9P-QWluFbEDvJQw;Get a sugar daddy to pay for it
UC664CofxesCfqMMEKMCu7XQ;@SagarKumar-kg5jn;robots ka kaam insan kare lekin salary insan ko he mile;2024-04-12T18:40:20Z;6;;Robots ka Kama insane are Lenin salary insane KO the mile
UClR_YAT7dQm11R4fzkjaNGg;@hanfucolorful9656;We need more lawyers to handle the increasing cases of Indian scammers.;2024-04-12T18:17:15Z;6;UC7-sewl_4Eb-kvjDbfZq4KQ;We need more lawyers to handle the increasing cases of Indian scammers.
UCvgYCxezZwEQlMaRB7UwwuA;@santhoshkumar-it8qn;Yes i know, most of the jobs are replaced;2024-04-12T17:37:45Z;6;;Yes I know, most of the jobs are replaced
UCjlWpSGF5VQRtNQDaCtDDbw;@isabelleossey6762;Live entertainment will not be replaced - I will never consider watching Robots perform;2024-04-13T11:25:38Z;5;;Live entertainment will not be replaced I will never consider watching Robots perform
UCsAe8zUXGOk46gjZn27s2TQ;@NatalieDormer-or4jj;Everyone needs more than their salary to be financial stable. The best thing to do with your money is to invest it rightly, because money left for saving always end up used with no returns.;2024-04-16T12:22:26Z;4;UCyW5MKMeo5wuBPFkiL3cWBw;Everyone needs more than their salary to be financial stable. The best thing to do with your money is to invest it rightly, because money left for saving always end up used with no returns.
UC1HDAz7IDPDewQ8GBw5LBpQ;@ranjithrpj;Carpentry, building work;2024-04-19T02:24:22Z;4;UCDYXxla07HLA92SNNwruGSg;Carpentry, building work
UCDA-cBXm2dYAI7Zdi3jgohw;@VR-fh4im;"No technology job will be taken away by AI maybe except computer science programmers&#39; job.";2024-04-13T02:09:27Z;4;;No technology job will be taken away by AI maybe except computer science programmers job.
UC5s7XUaLE0OehwsEn4yjSYw;@victorcoleman3521;MY Software Engineering Job And Game Dev job is safe haha;2024-04-12T17:38:47Z;4;;MY Software Engineering Job And Game Dev job is safe haha
UCMeEgBgGv_3p73IvKgS1BhA;@TheLearner048;Who said?;2024-04-12T17:48:06Z;4;UC5s7XUaLE0OehwsEn4yjSYw;Who said?
UCWNUiHXdWIIWPKVTAQb4e9Q;@arigatoSev7en;"If you don&#39;t perform analytical thinking for creating softwares and games and your job is just to receive orders from your boss and write codes then sorry my friend, your job will be taken away.";2024-04-12T17:56:33Z;4;UC5s7XUaLE0OehwsEn4yjSYw;If you don't perform analytical thinking for creating pieces of software and games and your job is just to receive orders from your boss and write codes then sorry my friend, your job will be taken away.
UC4R5JqJre_o7PA2QQdGRBdA;@zuperzciencez6990;innovators should revolutionize the next evolution of human which is called super human that supercede Ai;2024-04-17T01:29:00Z;3;;Innovators should revolutionize the next evolution of human which is called super human that supersede Ai
UCbIB19P_JOGtPYuVuszVD0w;@ningyen1444;Who is your financial coach, do you mind hooking me?;2024-04-16T12:22:57Z;3;UCyW5MKMeo5wuBPFkiL3cWBw;Who is your financial coach, do you mind hooking me?
UCQ4eC77hOZx2Pvqk0Dc62FQ;@sahiilpatil;"Thank the lord I&#39;m a doctor";2024-04-15T09:44:32Z;3;;Thank the lord I'm a doctor
UCgg5pYkeEQ_Ox103frx8KiQ;@tathagata_roy;Then what will humanoid robots do?;2024-04-14T13:22:41Z;3;UC20l7QfHuI5lTjGW4FqzHdA;Then what will humanoid robots do?
UC08ccSoYyHaPHJ71Se8ktLQ;@nishanttomar7826;maybe jobs wil not be needed to live;2024-04-13T01:43:58Z;3;;Maybe jobs will not be needed to live
UCx9huFD0UqN5A4OdrOP-zdA;@Hindusthan1947-pw4rm;So, Military in danger too..?;2024-04-12T23:44:04Z;3;;So, Military in danger too.?
UCPyK4BbrKCrtdab0KEc6XwA;@sanatanihindu383;we need some regulations on ai because ai will eventually reduce numbers of job , ai will reduce IT JOBS;2024-04-12T19:26:28Z;3;;We need some regulations on artificial intelligence because artificial intelligence will eventually reduce numbers of job, artificial intelligence will reduce IT JOBS
UCtoboJidHXynAJfWh89VbqA;@TheJohnnyJohnny;street sweeper, gardener, baby sitter, nurse. Are these jobs going to be replace by AI?;2024-04-12T18:45:21Z;3;;Street sweeper, gardener, babysitter, nurse. Are these jobs going to be replaced by AI?
UC25KaJF0EwP7q-1ZDfaa3wQ;@jackmiller9926;"We can just introduce universal basic income and live a free, creative life but the elites don&#39;t want to give people time to think about who rules them.";2024-04-30T17:59:31Z;2;;We can just introduce universal basic income and live a free, creative life but the elites don't want to give people time to think about who rules them.
UCOVLmCSzVbT-SA0rkf-_pDw;@mr369walters7;Teacher can be replace. In US, some schools close, and teachers were let go and the kids go online using AI software. The excuse was low budget and that they want to rebuild the school for migrant housing.;2024-04-25T02:51:53Z;2;UCxIybtjf9q_8C89_-yCejDA;Teacher can be replaced. In US, some schools close, and teachers were let go and the kids go online using AI software. The excuse was low budget and that they want to rebuild the school for migrant housing.
UCjpOtYhW9t3HIoCKPcK20AQ;@kingbush9328;Am looking for something to venture into on a short term basis, I really need to create an alternate source of income, what do you think I should be buying?;2024-04-16T12:25:06Z;2;UCyW5MKMeo5wuBPFkiL3cWBw;Am I looking for something to venture into on a short term basis, I really need to create an alternate source of income, what do you think I should be buying?
UCGNtFxZ413ZweJvJfkRDR8w;@sbnerji12555;What about aerospace industry or space technology?;2024-04-15T07:34:01Z;2;;What about aerospace industry or space technology?
UCzOfEEX8Px97cCu0xAjWYvQ;@abhiram.13;Bureaucracy too.;2024-04-15T05:28:05Z;2;;Bureaucracy too.
UCK7auuFlot9cPi1qn3gu2_g;@jrs2002;"No. With every new model development, every new possibility of AI use, with development of more ways of AI penetration, more broad and comprehensive regulation framework would be needed, to prevent a future catastrophe of Computer AI superiority over humans. Even if AI will be developed to do lawyer&#39;s work, a human framework will be required to regulate even the AI lawyers. At the end humans can never let /afford AI to be at the top of the food chain replacing them. Hence humans cannot completely give legal responsibility to AI. There would always be the requirement of human regulators and human lawyers. But yes, human management of law would be very niche then. Certain category like AI Law, ML Law, Cybersecurity law, cloning, etc science and tech related law would require human management and human lawyers/legal professionals/advisors. The conventional law today like criminal, civil, corporate, etc would be taken over by AI.";2024-04-13T10:34:48Z;2;;No. With every new model development, every new possibility of AI use, with development of more ways of AI penetration, more broad and comprehensive regulation framework would be needed, to prevent a future catastrophe of Computer AI superiority over humans. Even if AI will be developed to do lawyer .work, a human framework will be required to regulate even the AI lawyers. At the end humans can never let afford AI to be at the top of the food chain replacing them. Hence, humans can not completely give legal responsibility to AI. There would always be the requirement of human regulators and human lawyers. But yes, human management of law would be very niche then. Certain category like AI Law, ML Law, Cybersecurity law, cloning, etc. science and tech related law would require human management and human lawyers legal professionals advisors. The conventional law today like criminal, civil, corporate, etc. would be taken over by AI.
UC2-SSPKYcBY7R2rnVmtbYHQ;@kapilpoudel8452;"Biology will gonna win because human con&#39;t trust fully on machine on future !";2024-04-13T05:35:53Z;2;;Biology will go to win because human con t trust fully on machine on future !
UCs36Yl1jzSTr1dbB1d5okUQ;@splitfire2001;My mostly uninformed guess is commercial and industrial trade jobs will be gone by 2050.  Residential will take longer.;2024-04-26T14:00:00Z;2;UC20l7QfHuI5lTjGW4FqzHdA;My mostly uninformed guess is commercial and industrial trade jobs will be gone by 2050. Residential will take longer.
UCbQiMfHqmETinePlS7hQwcQ;@ThomasTomiczek;"Well, the statement of gates does not say 2 jobs- but 3 job categories. And - he is wrong. He does not project AI into AGI and ASI which we likely have in a decade. There is no reason energy related jobs can not be done by a robot - we are well known in how to isolate a machine. Buiiology? What? Wiping shit of people&#39;s asses? Solved. Research? ALSO already done by AI. Those who make AI - are a smaller and samller field once AGI comes. Definition of AGI.";2024-04-12T20:58:05Z;2;;Well, the statement of gates does not say 2 jobs but 3 job categories. And he is wrong. He does not project AI into AGI and ASI which we likely have in a decade. There is no reason energy related jobs can not be done by a robot we are well known in how to isolate a machine. Biology? What? Wiping shit of people.asses? Solved. Research? ALSO, already done by AI. Those who make AI are a smaller and smaller field once AGI comes. Definition of AGI.
UCbkU0tT3Ct9gjtOR700jKkA;@keyair123;He forgot healthcare;2024-04-12T19:50:36Z;2;;He forgot healthcare
UCV_tvG_-lA0OYiSskmXK7Kg;@uditmalhotra86;Yes. Robots mobility is reaching human level sooner than later. Probably not baby sitter but other ones can be taken over.;2024-04-12T22:23:57Z;2;UCtoboJidHXynAJfWh89VbqA;Yes. Robots mobility is reaching human level sooner than later. Probably not babysitter but other ones can be taken over.
UCW-wRaryhzHUKx0xW6WQeJA;@Mysterious_pomo;"AI is already replacing creative jobs. There are AI&#39;s that can write your essay/letters/novels in a fraction of a minute. There are AI&#39;s that can generate images and Videos in less than a minute. There are AI&#39;s that can even create your custom songs. AI is getting ahead in every field.";2024-04-13T02:11:59Z;2;UCyfHMJpCBZL4tnqOJJEcOEw;AI is already replacing creative jobs. There are AIs .that can write your essay letters novels in a fraction of a minute. There are AI .that can generate images and Videos in less than a minute. There are AI .that can even create your custom songs. AI is getting ahead in every field.
UCuTVn4MNhCqP7oBdxlj9nPw;@Soso87652;Yes we need to understand... We humans are the god creation and he made us superior of all interms of intelligence... And Ai is not something eternal it has limited work it has limited life it has  limited  specialities.. It can perform that work it was programmed for..... Even if They replace local level jobs with ai its not gonna last long... So stop worrying unnecessarily about things and work.... On yourself be happy ... Every useless msg should not make you worry........ It gives anxiety i know.. But its point less ryt now to worry about such things....... God bless you Trust God.........;2024-04-22T13:15:28Z;1;;Yes we need to understand... We humans are the god creation, and he made us superior of all interns of intelligence... And Ai is not something eternal it has limited work it has limited life it has limited specialities. It can perform that work it was programmed for..... Even if They replace local level jobs with artificial intelligence it is not going to last long... So stop worrying unnecessarily about things and work.... On yourself be happy ... Every useless message should not make you worry........ It gives anxiety I know. But it is point less rat now to worry about such things....... God bless you Trust God.........
UCUEOx8GYOsWi5HOdA-c8F9A;@ReeChad.;2 real jobs safe from ai<br>-thief and scammer<br>-Politician<br>-;2024-04-19T00:26:36Z;1;;2 real jobs safe from artificial intelligence thief and scammer Politician
UCLMbZCAPsD5j6IePxuOSsPg;@ninja2299;Hackers are AI proof;2024-04-18T14:59:37Z;1;;Hackers are AI proof
UCSZklGHGI4rMduqj6SdK9Xg;@ombotimbe;"You&#39;d better listen to Bill. Remember COVID? Everything he says turns out right.";2024-04-14T23:06:55Z;1;;You'd better listen to Bill. Remember COVID? Everything he says turns out right.
UCESePYWNLZghGe3TlilnFXQ;@subhodeepmondal7937;1. AI engineering<br>2. AI karnel dev.<br>3. Optimisation engineer.<br>Cause they are literally the backbone of AI.;2024-04-14T11:46:20Z;1;;1. AI engineering 2. AI kernel dev. 3. Optimization engineer. Because they are literally the backbone of AI.
UC6IkfsyquLuxGXrx9qALs_w;@sabprogroup8623;the wedding photographers are laughing in the background.;2024-04-14T04:42:08Z;1;;The wedding photographers are laughing in the background.
UCQ4IG92XVn3vxMyjnDmfxiQ;@ashutoshgupta9410;He forgot agriculture.;2024-04-13T19:30:02Z;1;;He forgot agriculture.
UC4gAdS5OwrO5qqB1GUveowA;@Girisarves;If there  is no job , econome will break like a glass house .;2024-04-13T16:52:24Z;1;;If there is no job, economy will break like a glass house.
UCzHaV63am5GOJnVm9Wl1fvQ;@anonymousan5063;There will be no impact on functioning of govt employees in India .As AI cannot remove corruption from govt offices  .;2024-04-13T11:49:51Z;1;;There will be no impact on functioning of govt employees in India. As AI can not remove corruption from govt offices.
UC9XXHuJQ1xumzgas78J1HGA;@wisdomandlove1661;there will be development of life like android looking beings that can replace cops and actors/actresses in the near future;2024-04-21T23:49:17Z;1;UCjlWpSGF5VQRtNQDaCtDDbw;There will be development of life like android looking beings that can replace cops and actors actresses in the near future
UConXYX98-O9wDMeELbMGyMw;@G73Server;You are making the bols assumption that the progress isnt exponential, which it is quite obviously;2024-04-22T08:54:45Z;1;UC7OD5ldvfnQfspSQCuLon1Q;You are making the boys assumption that the progress Is not exponential, which it is quite obviously
UCFTKg5oTq7HjBflUy144sOw;@krishnarawat6475;"Yeah, it&#39;s scary coz just few months we could do text to image and now AI can do text to video generation, and that too of good level. Ofcourse its not flawless, but with time, it will.<br>Devin might not be a thing to worry now, but just seeing the potential of AI threatens . What it can do in next 5 years<br>Definitely govt should take some measures, as if hypothetically if one can do 3 people job due to AI, then the rest unemployed population will not have money to spend, thus leading to unstable economy";2024-04-13T06:34:13Z;1;;Yeah, it.scary because just few months we could do text to image and now AI can do text to video generation, and that too of good level. Of course it is not flawless, but with time, it will. Devin might not be a thing to worry now, but just seeing the potential of AI threatens. What it can do in next 5 years Definitely govt should take some measures, as if hypothetically is one can do 3 people job due to AI, then the rest unemployed population will not have money to spend, thus leading to unstable economy
UCQcuHoVFHqHMt_PtLEZwPtg;@EvansScott-oq4fx;"As a beginner investor, it&#39;s essential for you to have a mentor to keep you accountable.<br>Myself, I&#39;m guided by Charlotte Goldyn . A widely known crypto consultant";2024-04-13T04:47:58Z;1;UC3DQao8Q94gxF8uREuA8f8w;As a beginner investor, it.essential for you to have a mentor to keep you accountable. Myself, I'm guided by Charlotte Golden. A widely known crypto consultant
UCspef8JKDF9JkZoNPvMX_-w;@GarryBenson1;"For real, people underestimate how much they can rake in from the stock market. I started with 127k just before the pandemic hit. Many people&#39;s portfolios tanked, but I rode through with my financial advisor, and even made more than 206k within just three months of starting, and it&#39;s been an awesome ride since then.";2024-04-13T04:50:57Z;1;UC3DQao8Q94gxF8uREuA8f8w;For real, people underestimate how much they can rake in from the stock market. I started with 127k just before the pandemic hit. Many people.portfolios tanked, but I rode through with my financial advisor, and even made more than 206k within just three months of starting, and it .been an awesome ride since then.
UCfc4dzXw8gfFit5PHrEf-7w;@KaterinaEvan159;"I&#39;m new to cryptocurrency and I don&#39;t understand how it really works.Can someone guide me on the right approach to investing and making profit from cryptocurrency investment?";2024-04-13T04:57:43Z;1;UC3DQao8Q94gxF8uREuA8f8w;I'm new to cryptocurrency and I don't understand how it really works. Can someone guide me on the right approach to investing and making profit from cryptocurrency investment?
UCx6K6xrr_BDD2BmUl74QHWw;@AjayG-folio;Rock solid safe.;2024-04-14T11:45:27Z;1;UCjXaCGEaVkaiMr5BZ90APmw;Rock solid safe.
UCrdQW-_KcoVvIWDIW_uWwaw;@manojy2506;I think ruling and administrative jobs also not gonna affected.. Will the people accept being ruled by AI..;2024-04-13T01:53:18Z;1;;I think ruling and administrative jobs also not going to be affected. Will the people accept being ruled by AI.
UCLWT6s7D9POtdmUR9XMyCAw;@zealousprogrammer4539;Boston Dynamic already have robot fighting;2024-04-13T00:10:24Z;1;UCx9huFD0UqN5A4OdrOP-zdA;Boston Dynamic already have robot fighting
UCnw6Cz4Pp0LroLt83h1U0CQ;@striker44;Yes, will be impacted. Most wars will be cyber wars in the future, and traditional military jobs will evolve.;2024-04-13T01:29:37Z;1;UCx9huFD0UqN5A4OdrOP-zdA;Yes, will be impacted. Most wars will be cyberwars in the future, and traditional military jobs will evolve.
UC4nyr6DtjRcmgROAnttAHDg;@Swarogisreal;Very possible, but rich guys wont allow it. Greed makes wonders...;2024-04-17T19:45:04Z;1;UC5vXMZJl9P-QWluFbEDvJQw;Very possible, but rich guys will no tallow it. Greed makes wonders...
UCOA7hadx7Uue9m30qtfjmbQ;@vishrutmangoli777;"you forgot to mention about the perplexity and google&#39;s headbutting for an employee";2024-04-12T21:03:23Z;1;;You forgot to mention the perplexity and google.headbutting for an employee
UC7z--L6z8yCqt3Cfl0-lyrA;@learneverything5946;What about software engineers;2024-04-12T20:45:47Z;1;;What about software engineers
UCCjW4g93r7r7X_PMsjWO_xg;@rudrakale1262;As a data scientist ai jobs are last jobs will be replaced by ai;2024-04-14T05:27:04Z;1;UC-h3PP3gM8xcBvhQPkLjomQ;As a data scientist artificial intelligence jobs are last jobs will be replaced by artificial intelligence
UCbkweqHJYz9kvvCh1FkEewg;@D.2601;Thanks;2024-04-13T07:20:17Z;1;UCds1d9ZDLejQwDf9nM6UBzw;Thanks
UCW3tPZByUKJGahX5ozlgohA;@AlbertBormant;"Bill Gates assures us that &quot;Child sex procurer&quot; will remain a vital industry!";2024-04-12T17:38:03Z;1;;Bill Gates assures us that Child sex procurer will remain a vital industry!
UCtcjvQHw3gQXpAwk_Gl8fvA;@bog6106;Your videos are enlightening;2024-05-01T06:04:05Z;0;;Your videos are enlightening
UCoVFdB1tm3cczucC7RdY_BA;@tomcashin7548;MAYBE YOU SHOULD BE USING AI TO ENHANCE YOUR JOB;2024-04-30T18:04:15Z;0;;MAYBE YOU SHOULD BE USING AI TO ENHANCE YOUR JOB
UCeP06koKuGc0qYpJGYOXlCA;@untouchable360x;4. Human traffickers like Epstein.;2024-04-30T16:46:43Z;0;;4. Human traffickers like Epstein.
UCfQPTqTERJftrvmhEjl_gZA;@chrisbenn;Thats just wrong!;2024-04-30T07:00:17Z;0;;That is just wrong!
UCIXOY2d2_Intmubd1UTB8_g;@cavecodes853;The occupation of being a billionaire will survive AI;2024-04-30T05:15:49Z;0;;The occupation of being a billionaire will survive AI
UCsucEkYvii0KUqnYbQLH6MA;@jakobbourne6381;"Why is <b>Phlanx&#39;s Caption Generator</b> an effective method for business? It simplifies the content creation process, allowing businesses to maintain a consistent online presence without investing excessive time or resources.";2024-04-30T05:04:01Z;0;;Why is Phalanx. Caption Generator an effective method for business? It simplifies the content creation process, allowing businesses to maintain a consistent online presence without investing excessive time or resources.
UCxvpMBV0L1Bgd1xeqp_6p-Q;@williamacuff7707;"AI can&#39;t stop the preaching of Jesus Christ, maybe on the internet, but hearts and minds with truth from God, Jesus, nothing can stop! Jesus wisdom! Even if implanted in humans blocking devices, the soul is spirit, needs not physical conscious to receive from God, Jesus, can operate without physical ability! Even God, Jesus, can stop AI, when we get in trouble with AI, theirs hope; the master of the elements is still in control.";2024-04-29T16:39:07Z;0;;AI can't stop the preaching of Jesus Christ, maybe on the internet, but hearts and minds with truth from God, Jesus, nothing can stop! Jesus wisdom! Even if implanted in humans blocking devices, the soul is spirit, needs not physical conscious to receive from God, Jesus, can operate without physical ability! Even God, Jesus, can stop AI, when we get in trouble with AI, theirs hope the master of the elements is still in control.
UC4D4S_Fz9tLmdC4NFGhw9Dg;@sirdark1381;Biology. Ai be coming.;2024-04-29T12:02:15Z;0;;Biology. Ai be coming.
UCcbyFnwwAJtmeN7OrIFLqHg;@amigodacasa3325;"there is no such thing as artificial intelligence<br><b>machines cannot think</b><br>there is <b>intelligent design</b><br>hopefully with an intelligent designer<br>all these high-paid &quot;ai&quot; engineers<br>should be forced to sign liability contracts<br>holding them individually and personally responsible<br>for <b>every single thing</b> their machines do<br>every car crash<br>every teen suicide<br>every ship that rams into a bridge<br>but they cleverly call it &quot;artificial intelligence&quot;<br>i didn&#39;t ban you, it was the <b>algorithm</b> that did it<br>says mark zuckerberg<br>all hail, all worship the mighty algorithm<br>only the algorithm knows all, deserves all power<br>this is actually a severe mental illness";2024-04-29T08:13:53Z;0;;There is no such thing as artificial intelligence machines can not think there is intelligent design hopefully with an intelligent designer all these high paid artificial intelligence engineers should be forced to sign liability contracts holding them individually and personally responsible for every single thing their machines do every car crash every teen suicide every ship that rams into a bridge, but they cleverly call it artificial intelligence i didn't ban you, it was the algorithm that did it says Mark Zuckerberg all hail, all worship the mighty algorithm only the algorithm knows all, deserves all power this is actually a severe mental illness
